 Date__(UT)__HR:MN     RA             DEC    APmag   S-brt             delta      deldot     S-O-T /r     S-T-O  399_ins_LT  Sky_motion  Sky_mot_PA  RelVel-ANG  Lun_Sky_Brt  sky_SNR
 2023-Jul-26 00:03     192.11731   2.88807    8.776   6.823  2.84805664276569  21.2785787   67.7384 /T   20.8863    0.000000   0.8614881   122.50108   35.656316         n.a.     n.a.
 2023-Jul-26 00:06     192.11792   2.88768    8.776   6.823  2.84808224606795  21.2784096   67.7371 /T   20.8861    0.000000   0.8614982   122.50073   35.655539         n.a.     n.a.
 2023-Jul-26 00:09     192.11852   2.88730    8.776   6.823  2.84810784916670  21.2782404   67.7358 /T   20.8859    0.000000   0.8615082   122.50038   35.654763         n.a.     n.a.
 2023-Jul-26 00:12     192.11913   2.88691    8.776   6.823  2.84813345206187  21.2780713   67.7346 /T   20.8857    0.000000   0.8615183   122.50003   35.653987         n.a.     n.a.
 2023-Jul-26 00:15     192.11973   2.88652    8.776   6.823  2.84815905475350  21.2779021   67.7333 /T   20.8854    0.000000   0.8615283   122.49968   35.653211         n.a.     n.a.
 2023-Jul-26 00:18     192.12034   2.88614    8.776   6.823  2.84818465724157  21.2777329   67.7320 /T   20.8852    0.000000   0.8615383   122.49933   35.652435         n.a.     n.a.
 2023-Jul-26 00:21     192.12095   2.88575    8.776   6.823  2.84821025952603  21.2775637   67.7308 /T   20.8850    0.000000   0.8615484   122.49898   35.651659         n.a.     n.a.
 2023-Jul-26 00:24     192.12155   2.88537    8.776   6.823  2.84823586160692  21.2773945   67.7295 /T   20.8848    0.000000   0.8615584   122.49863   35.650883         n.a.     n.a.
 2023-Jul-26 00:27     192.12216   2.88498    8.776   6.823  2.84826146348419  21.2772253   67.7282 /T   20.8846    0.000000   0.8615685   122.49828   35.650107         n.a.     n.a.
 2023-Jul-26 00:30     192.12276   2.88459    8.776   6.823  2.84828706515787  21.2770561   67.7270 /T   20.8844    0.000000   0.8615785   122.49793   35.649331         n.a.     n.a.
 2023-Jul-26 00:33     192.12337   2.88421    8.776   6.823  2.84831266662791  21.2768869   67.7257 /T   20.8842    0.000000   0.8615885   122.49758   35.648555         n.a.     n.a.
 2023-Jul-26 00:36     192.12398   2.88382    8.776   6.823  2.84833826789433  21.2767176   67.7244 /T   20.8839    0.000000   0.8615986   122.49724   35.647779         n.a.     n.a.
 2023-Jul-26 00:39     192.12458   2.88344    8.776   6.823  2.84836386895709  21.2765484   67.7231 /T   20.8837    0.000000   0.8616086   122.49689   35.647003         n.a.     n.a.
 2023-Jul-26 00:42     192.12519   2.88305    8.776   6.823  2.84838946981621  21.2763791   67.7219 /T   20.8835    0.000000   0.8616187   122.49654   35.646227         n.a.     n.a.
 2023-Jul-26 00:45     192.12579   2.88266    8.776   6.823  2.84841507047166  21.2762099   67.7206 /T   20.8833    0.000000   0.8616287   122.49619   35.645451         n.a.     n.a.
 2023-Jul-26 00:48     192.12640   2.88228    8.776   6.823  2.84844067092344  21.2760406   67.7193 /T   20.8831    0.000000   0.8616387   122.49584   35.644675         n.a.     n.a.
 2023-Jul-26 00:51     192.12701   2.88189    8.776   6.823  2.84846627117153  21.2758713   67.7181 /T   20.8829    0.000000   0.8616488   122.49549   35.643899         n.a.     n.a.
 2023-Jul-26 00:54     192.12761   2.88151    8.776   6.823  2.84849187121593  21.2757020   67.7168 /T   20.8827    0.000000   0.8616588   122.49514   35.643123         n.a.     n.a.
 2023-Jul-26 00:57     192.12822   2.88112    8.776   6.823  2.84851747105663  21.2755327   67.7155 /T   20.8824    0.000000   0.8616688   122.49479   35.642347         n.a.     n.a.
 2023-Jul-26 01:00     192.12883   2.88073    8.776   6.823  2.84854307069360  21.2753634   67.7143 /T   20.8822    0.000000   0.8616789   122.49444   35.641571         n.a.     n.a.
 2023-Jul-26 01:03     192.12943   2.88035    8.776   6.823  2.84856867012686  21.2751941   67.7130 /T   20.8820    0.000000   0.8616889   122.49410   35.640795         n.a.     n.a.
 2023-Jul-26 01:06     192.13004   2.87996    8.776   6.823  2.84859426935636  21.2750248   67.7117 /T   20.8818    0.000000   0.8616989   122.49375   35.640019         n.a.     n.a.
 2023-Jul-26 01:09     192.13064   2.87958    8.776   6.823  2.84861986838213  21.2748555   67.7105 /T   20.8816    0.000000   0.8617090   122.49340   35.639244         n.a.     n.a.
 2023-Jul-26 01:12     192.13125   2.87919    8.776   6.823  2.84864546720413  21.2746861   67.7092 /T   20.8814    0.000000   0.8617190   122.49305   35.638468         n.a.     n.a.
 2023-Jul-26 01:15     192.13186   2.87880    8.776   6.823  2.84867106582237  21.2745168   67.7079 /T   20.8811    0.000000   0.8617290   122.49270   35.637692         n.a.     n.a.
 2023-Jul-26 01:18     192.13246   2.87842    8.776   6.823  2.84869666423682  21.2743474   67.7066 /T   20.8809    0.000000   0.8617391   122.49235   35.636916         n.a.     n.a.
 2023-Jul-26 01:21     192.13307   2.87803    8.776   6.823  2.84872226244750  21.2741781   67.7054 /T   20.8807    0.000000   0.8617491   122.49200   35.636140         n.a.     n.a.
 2023-Jul-26 01:24     192.13368   2.87765    8.776   6.823  2.84874786045436  21.2740087   67.7041 /T   20.8805    0.000000   0.8617591   122.49165   35.635365         n.a.     n.a.
 2023-Jul-26 01:27     192.13428   2.87726    8.776   6.823  2.84877345825743  21.2738393   67.7028 /T   20.8803    0.000000   0.8617692   122.49130   35.634589         n.a.     n.a.
 2023-Jul-26 01:30     192.13489   2.87687    8.776   6.823  2.84879905585666  21.2736699   67.7016 /T   20.8801    0.000000   0.8617792   122.49096   35.633813         n.a.     n.a.
 2023-Jul-26 01:33     192.13549   2.87649    8.776   6.823  2.84882465325208  21.2735005   67.7003 /T   20.8799    0.000000   0.8617892   122.49061   35.633038         n.a.     n.a.
 2023-Jul-26 01:36     192.13610   2.87610    8.776   6.823  2.84885025044364  21.2733311   67.6990 /T   20.8796    0.000000   0.8617993   122.49026   35.632262         n.a.     n.a.
 2023-Jul-26 01:39     192.13671   2.87572    8.776   6.823  2.84887584743136  21.2731617   67.6978 /T   20.8794    0.000000   0.8618093   122.48991   35.631486         n.a.     n.a.
 2023-Jul-26 01:42     192.13731   2.87533    8.776   6.823  2.84890144421523  21.2729923   67.6965 /T   20.8792    0.000000   0.8618193   122.48956   35.630710         n.a.     n.a.
 2023-Jul-26 01:45     192.13792   2.87494    8.776   6.823  2.84892704079520  21.2728228   67.6952 /T   20.8790    0.000000   0.8618294   122.48921   35.629935         n.a.     n.a.
 2023-Jul-26 01:48     192.13853   2.87456    8.776   6.823  2.84895263717131  21.2726534   67.6939 /T   20.8788    0.000000   0.8618394   122.48886   35.629159         n.a.     n.a.
 2023-Jul-26 01:51     192.13913   2.87417    8.776   6.823  2.84897823334351  21.2724840   67.6927 /T   20.8786    0.000000   0.8618494   122.48851   35.628384         n.a.     n.a.
 2023-Jul-26 01:54     192.13974   2.87379    8.776   6.823  2.84900382931181  21.2723145   67.6914 /T   20.8784    0.000000   0.8618594   122.48817   35.627608         n.a.     n.a.
 2023-Jul-26 01:57     192.14034   2.87340    8.776   6.823  2.84902942507619  21.2721450   67.6901 /T   20.8781    0.000000   0.8618695   122.48782   35.626832         n.a.     n.a.
