 Date__(UT)__HR:MN     RA              12    APmag   S-brt             delta      deldot     S-O-T /r     S-T-O  399_ins_LT  Sky_motion  Sky_mot_PA  RelVel-ANG  Lun_Sky_Brt  sky_SNR
 2022-07-26      124.07889  24.76113    8.416   5.996  3.58985837558296  -1.7892708    5.2787 /L    2.0744    0.000000   1.1141640   99.764580   -2.125049         n.a.     n.a.
 2022-07-27      124.56255  24.68580    8.422   6.003  3.58876791226217  -1.9869037    5.5144 /L    2.1669    0.000000   1.1144927   99.917915   -2.358921         n.a.     n.a.
 2022-07-28      125.04582  24.60927    8.429   6.010  3.58756331206826  -2.1845028    5.7855 /L    2.2732    0.000000   1.1147864   100.06996   -2.592841         n.a.     n.a.
 2022-07-29      125.52869  24.53156    8.436   6.018  3.58624462001064  -2.3819790    6.0873 /L    2.3916    0.000000   1.1150447   100.22070   -2.826743         n.a.     n.a.
 2022-07-30      126.01114  24.45267    8.444   6.027  3.58481193423232  -2.5792377    6.4155 /L    2.5202    0.000000   1.1152670   100.37010   -3.060552         n.a.     n.a.
 2022-07-31      126.49314  24.37262    8.452   6.036  3.58326540874818  -2.7761802    6.7663 /L    2.6577    0.000000   1.1154536   100.51815   -3.294188         n.a.     n.a.
 2022-08-01      126.97469  24.29143    8.461   6.046  3.58160525525351  -2.9727058    7.1363 /L    2.8026    0.000000   1.1156046   100.66483   -3.527568         n.a.     n.a.
 2022-08-02      127.45575  24.20911    8.470   6.055  3.57983174375080  -3.1687137    7.5228 /L    2.9538    0.000000   1.1157210   100.81011   -3.760607         n.a.     n.a.
 2022-08-03      127.93631  24.12566    8.478   6.065  3.57794520184237  -3.3641057    7.9234 /L    3.1105    0.000000   1.1158038   100.95398   -3.993221         n.a.     n.a.
 2022-08-04      128.41635  24.04111    8.487   6.075  3.57594601246560  -3.5587890    8.3361 /L    3.2717    0.000000   1.1158547   101.09643   -4.225329         n.a.     n.a.
 2022-08-05      128.89586  23.95547    8.496   6.085  3.57383460952768  -3.7526807    8.7592 /L    3.4368    0.000000   1.1158760   101.23745   -4.456858         n.a.     n.a.
 2022-08-06      129.37482  23.86874    8.505   6.095  3.57161147034719  -3.9457147    9.1912 /L    3.6053    0.000000   1.1158704   101.37703   -4.687751         n.a.     n.a.
 2022-08-07      129.85322  23.78096    8.513   6.105  3.56927710321659  -4.1378519    9.6312 /L    3.7766    0.000000   1.1158413   101.51517   -4.917976         n.a.     n.a.
 2022-08-08      130.33104  23.69212    8.522   6.115  3.56683202818776  -4.3290931   10.0779 /L    3.9504    0.000000   1.1157924   101.65186   -5.147546         n.a.     n.a.
 2022-08-09      130.80828  23.60224    8.531   6.125  3.56427674999395  -4.5194925   10.5307 /L    4.1263    0.000000   1.1157278   101.78710   -5.376529         n.a.     n.a.
 2022-08-10      131.28493  23.51133    8.539   6.135  3.56161172442320  -4.7091659   10.9888 /L    4.3040    0.000000   1.1156511   101.92089   -5.605069         n.a.     n.a.
 2022-08-11      131.76098  23.41942    8.547   6.145  3.55883732322718  -4.8982866   11.4517 /L    4.4834    0.000000   1.1155651   102.05322   -5.833375         n.a.     n.a.
 2022-08-12      132.23643  23.32650    8.555   6.155  3.55595380606419  -5.0870646   11.9188 /L    4.6641    0.000000   1.1154708   102.18408   -6.061710         n.a.     n.a.
 2022-08-13      132.71127  23.23259    8.563   6.164  3.55296130826606  -5.2757144   12.3898 /L    4.8460    0.000000   1.1153676   102.31344   -6.290349         n.a.     n.a.
 2022-08-14      133.18550  23.13770    8.571   6.174  3.54985984882466  -5.4644193   12.8642 /L    5.0289    0.000000   1.1152529   102.44129   -6.519543         n.a.     n.a.
 2022-08-15      133.65910  23.04186    8.578   6.183  3.54664935578988  -5.6533082   13.3419 /L    5.2128    0.000000   1.1151232   102.56762   -6.749487         n.a.     n.a.
 2022-08-16      134.13208  22.94506    8.586   6.192  3.54332970062495  -5.8424484   13.8225 /L    5.3975    0.000000   1.1149745   102.69239   -6.980307         n.a.     n.a.
 2022-08-17      134.60442  22.84734    8.593   6.202  3.53990073205459  -6.0318535   14.3058 /L    5.5828    0.000000   1.1148030   102.81560   -7.212071         n.a.     n.a.
 2022-08-18      135.07611  22.74869    8.600   6.211  3.53636230299770  -6.2214982   14.7916 /L    5.7687    0.000000   1.1146050   102.93721   -7.444801         n.a.     n.a.
 2022-08-19      135.54715  22.64913    8.607   6.220  3.53271428848039  -6.4113334   15.2797 /L    5.9552    0.000000   1.1143778   103.05722   -7.678489         n.a.     n.a.
 2022-08-20      136.01751  22.54869    8.614   6.229  3.52895659563286  -6.6012986   15.7701 /L    6.1420    0.000000   1.1141190   103.17559   -7.913112         n.a.     n.a.
 2022-08-21      136.48718  22.44738    8.621   6.238  3.52508916829889  -6.7913280   16.2625 /L    6.3292    0.000000   1.1138265   103.29231   -8.148641         n.a.     n.a.
 2022-08-22      136.95616  22.34521    8.627   6.246  3.52111198887530  -6.9813540   16.7568 /L    6.5167    0.000000   1.1134985   103.40736   -8.385045         n.a.     n.a.
 2022-08-23      137.42443  22.24221    8.634   6.255  3.51702507944451  -7.1713066   17.2530 /L    6.7044    0.000000   1.1131336   103.52071   -8.622289         n.a.     n.a.
 2022-08-24      137.89196  22.13838    8.640   6.264  3.51282850354370  -7.3611119   17.7510 /L    6.8923    0.000000   1.1127303   103.63235   -8.860333         n.a.     n.a.
 2022-08-25      138.35876  22.03375    8.646   6.272  3.50852236923495  -7.5506892   18.2506 /L    7.0803    0.000000   1.1122873   103.74225   -9.099130         n.a.     n.a.
 2022-08-26      138.82479  21.92833    8.652   6.281  3.50410683354889  -7.7399493   18.7518 /L    7.2684    0.000000   1.1118033   103.85039   -9.338624         n.a.     n.a.
 2022-08-27      139.29006  21.82215    8.658   6.289  3.49958210786980  -7.9287932   19.2546 /L    7.4565    0.000000   1.1112777   103.95674   -9.578743         n.a.     n.a.
 2022-08-28      139.75454  21.71522    8.663   6.297  3.49494846343326  -8.1171128   19.7588 /L    7.6446    0.000000   1.1107097   104.06130   -9.819404         n.a.     n.a.
 2022-08-29      140.21821  21.60756    8.669   6.305  3.49020623587234  -8.3047939   20.2644 /L    7.8326    0.000000   1.1100992   104.16404   -10.06051         n.a.     n.a.
 2022-08-30      140.68107  21.49919    8.674   6.313  3.48535582772795  -8.4917198   20.7714 /L    8.0206    0.000000   1.1094468   104.26495   -10.30196         n.a.     n.a.
 2022-08-31      141.14309  21.39013    8.679   6.321  3.48039770803558  -8.6777779   21.2797 /L    8.2084    0.000000   1.1087534   104.36402   -10.54365         n.a.     n.a.
 2022-09-01      141.60427  21.28039    8.684   6.329  3.47533240842302  -8.8628652   21.7893 /L    8.3960    0.000000   1.1080207   104.46125   -10.78548         n.a.     n.a.
 2022-09-02      142.06460  21.17000    8.689   6.337  3.47016051544386  -9.0468956   22.3002 /L    8.5834    0.000000   1.1072509   104.55664   -11.02736         n.a.     n.a.
 2022-09-03      142.52405  21.05898    8.693   6.345  3.46488265898867  -9.2298064   22.8123 /L    8.7706    0.000000   1.1064467   104.65018   -11.26922         n.a.     n.a.
 2022-09-04      142.98263  20.94734    8.698   6.352  3.45949949654761  -9.4115659   23.3255 /L    8.9575    0.000000   1.1056114   104.74189   -11.51102         n.a.     n.a.
 2022-09-05      143.44032  20.83510    8.702   6.360  3.45401169304178  -9.5921813   23.8400 /L    9.1442    0.000000   1.1047485   104.83176   -11.75277         n.a.     n.a.
 2022-09-06      143.89712  20.72228    8.707   6.367  3.44841989626834  -9.7717058   24.3556 /L    9.3306    0.000000   1.1038615   104.91981   -11.99452         n.a.     n.a.
 2022-09-07      144.35302  20.60890    8.711   6.375  3.44272470909776  -9.9502420   24.8724 /L    9.5166    0.000000   1.1029536   105.00603   -12.23638         n.a.     n.a.
 2022-09-08      144.80802  20.49497    8.715   6.382  3.43692666146044 -10.1279384   25.3903 /L    9.7023    0.000000   1.1020271   105.09043   -12.47852         n.a.     n.a.
 2022-09-09      145.26212  20.38051    8.719   6.389  3.43102618718836 -10.3049761   25.9094 /L    9.8876    0.000000   1.1010832   105.17298   -12.72118         n.a.     n.a.
 2022-09-10      145.71531  20.26553    8.722   6.397  3.42502361155378 -10.4815456   26.4296 /L   10.0726    0.000000   1.1001213   105.25368   -12.96461         n.a.     n.a.
 2022-09-11      146.16759  20.15006    8.726   6.404  3.41891915359952 -10.6578198   26.9511 /L   10.2572    0.000000   1.0991395   105.33251   -13.20906         n.a.     n.a.
 2022-09-12      146.61896  20.03411    8.729   6.411  3.41271294322726 -10.8339316   27.4737 /L   10.4414    0.000000   1.0981344   105.40943   -13.45476         n.a.     n.a.
 2022-09-13      147.06941  19.91770    8.733   6.418  3.40640504847999 -11.0099613   27.9975 /L   10.6252    0.000000   1.0971021   105.48443   -13.70187         n.a.     n.a.
 2022-09-14      147.51894  19.80085    8.736   6.425  3.39999550600170 -11.1859383   28.5226 /L   10.8085    0.000000   1.0960385   105.55748   -13.95052         n.a.     n.a.
 2022-09-15      147.96754  19.68358    8.739   6.431  3.39348434829225 -11.3618498   29.0489 /L   10.9914    0.000000   1.0949397   105.62854   -14.20078         n.a.     n.a.
 2022-09-16      148.41519  19.56590    8.742   6.438  3.38687162410424 -11.5376545   29.5764 /L   11.1739    0.000000   1.0938024   105.69760   -14.45266         n.a.     n.a.
 2022-09-17      148.86190  19.44785    8.744   6.445  3.38015741133876 -11.7132945   30.1053 /L   11.3558    0.000000   1.0926236   105.76462   -14.70619         n.a.     n.a.
 2022-09-18      149.30765  19.32943    8.747   6.452  3.37334182384629 -11.8887042   30.6354 /L   11.5372    0.000000   1.0914007   105.82959   -14.96135         n.a.     n.a.
 2022-09-19      149.75242  19.21066    8.749   6.458  3.36642501437610 -12.0638150   31.1668 /L   11.7181    0.000000   1.0901316   105.89247   -15.21813         n.a.     n.a.
 2022-09-20      150.19620  19.09159    8.752   6.465  3.35940717589455 -12.2385563   31.6995 /L   11.8985    0.000000   1.0888143   105.95325   -15.47652         n.a.     n.a.
 2022-09-21      150.63899  18.97221    8.754   6.471  3.35228854305655 -12.4128539   32.2335 /L   12.0782    0.000000   1.0874467   106.01190   -15.73650         n.a.     n.a.
 2022-09-22      151.08076  18.85256    8.756   6.478  3.34506939505245 -12.5866271   32.7688 /L   12.2574    0.000000   1.0860270   106.06839   -15.99805         n.a.     n.a.
 2022-09-23      151.52151  18.73266    8.758   6.484  3.33775006046213 -12.7597849   33.3054 /L   12.4359    0.000000   1.0845535   106.12270   -16.26112         n.a.     n.a.
 2022-09-24      151.96122  18.61254    8.760   6.490  3.33033092411926 -12.9322232   33.8434 /L   12.6138    0.000000   1.0830245   106.17480   -16.52567         n.a.     n.a.
 2022-09-25      152.39986  18.49221    8.762   6.496  3.32281243529323 -13.1038229   34.3826 /L   12.7910    0.000000   1.0814386   106.22466   -16.79161         n.a.     n.a.
 2022-09-26      152.83744  18.37169    8.763   6.503  3.31519511578231 -13.2744526   34.9233 /L   12.9675    0.000000   1.0797952   106.27228   -17.05885         n.a.     n.a.
 2022-09-27      153.27393  18.25103    8.764   6.509  3.30747956594255 -13.4439729   35.4652 /L   13.1433    0.000000   1.0780941   106.31764   -17.32726         n.a.     n.a.
 2022-09-28      153.70932  18.13023    8.766   6.515  3.29966646650168 -13.6122465   36.0085 /L   13.3183    0.000000   1.0763360   106.36074   -17.59672         n.a.     n.a.
 2022-09-29      154.14359  18.00932    8.767   6.521  3.29175657442753 -13.7791487   36.5532 /L   13.4926    0.000000   1.0745227   106.40157   -17.86710         n.a.     n.a.
 2022-09-30      154.57673  17.88832    8.768   6.527  3.28375071210937 -13.9445795   37.0992 /L   13.6660    0.000000   1.0726565   106.44014   -18.13827         n.a.     n.a.
 2022-10-01      155.00873  17.76726    8.769   6.533  3.27564975034697 -14.1084726   37.6465 /L   13.8387    0.000000   1.0707403   106.47647   -18.41015         n.a.     n.a.
 2022-10-02      155.43957  17.64617    8.770   6.538  3.26745458665603 -14.2708025   38.1951 /L   14.0105    0.000000   1.0687776   106.51057   -18.68269         n.a.     n.a.
 2022-10-03      155.86926  17.52505    8.770   6.544  3.25916612087795 -14.4315870   38.7452 /L   14.1815    0.000000   1.0667717   106.54245   -18.95590         n.a.     n.a.
 2022-10-04      156.29777  17.40394    8.771   6.550  3.25078523007728 -14.5908867   39.2965 /L   14.3515    0.000000   1.0647259   106.57211   -19.22982         n.a.     n.a.
 2022-10-05      156.72510  17.28286    8.771   6.555  3.24231274457418 -14.7488020   39.8493 /L   14.5207    0.000000   1.0626428   106.59956   -19.50457         n.a.     n.a.
 2022-10-06      157.15124  17.16182    8.771   6.561  3.23374942704052 -14.9054653   40.4034 /L   14.6890    0.000000   1.0605241   106.62479   -19.78031         n.a.     n.a.
 2022-10-07      157.57620  17.04084    8.771   6.566  3.22509595691603 -15.0610301   40.9590 /L   14.8563    0.000000   1.0583704   106.64778   -20.05725         n.a.     n.a.
 2022-10-08      157.99996  16.91996    8.771   6.572  3.21635292258238 -15.2156554   41.5160 /L   15.0228    0.000000   1.0561811   106.66852   -20.33562         n.a.     n.a.
